	10:00-18:00	10:00-18:00	10:00-18:00	10:00-18:00	10:00-18:00	10:00-14:00	wolne
	9:00-20:00	9:00-20:00	9:00-20:00	9:00-20:00	9:00-20:00	9:00-20:00	9-18
	9:30-18	9:30-18	9:30-18	9:30-18	9:30-18	9:30-19	9:30-19
	9:00-21:00	9:00-21:00	9:00-21:00	9:00-21:00	9:00-21:00	9:00-21:00	9:00-20:00
